Log data created at: Sunday, March 12, 2017 20:48:58
Score: 	 Turn: 	 	 Genes: 
51 	 	 153 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, 
50 	 	 64 	 	 GoWhereFoodIs, RunAwayFromGhost1, GoSameDirection, 
46 	 	 132 	 	 RunAwayFromGhost2, GoSameDirection, GoStraight, 
46 	 	 132 	 	 GoSameDirection, GoStraight, 
46 	 	 132 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, GoStraight, 
46 	 	 197 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoStraight, 
46 	 	 132 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, GoStraight, 
46 	 	 220 	 	 RunAwayFromGhost1, GoStraight, 
45 	 	 161 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, GoStraight, 
40 	 	 254 	 	 RunAwayFromGhost1, 
40 	 	 115 	 	 RunAwayFromGhost2, GoSameDirection, GoStraight, 
39 	 	 161 	 	 RunAwayFromGhost1, GoStraight, 
38 	 	 63 	 	 GoWhereFoodIs, RunAwayFromGhost2, GoStraight, 
37 	 	 146 	 	 GoStraight, 
36 	 	 192 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoStraight, 
28 	 	 36 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, 
26 	 	 126 	 	 GoStraight, 
25 	 	 169 	 	 RunAwayFromGhost2, GoStraight, 
25 	 	 139 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoStraight, 
23 	 	 98 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoStraight, 
14 	 	 14 	 	 GoWhereFoodIs, GoSameDirection, 
14 	 	 14 	 	 GoWhereFoodIs, RunAwayFromGhost1, 
1 	 	 76 	 	 
Log ended. 

Log data created at: Sunday, March 12, 2017 21:08:53
Score: 	 Turn: 	 	 Genes: 
153 	 	 444 	 	 RunAwayFromGhost2, GoSameDirection, 
115 	 	 135 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, 
108 	 	 136 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, GoStraight, 
82 	 	 93 	 	 GoWhereFoodIs, GoSameDirection, GoStraight, 
