New session initialized at: Sunday, March 12, 2017 20:48:13
Generation: 	 Turn: 	 Idle: 	 Score: 	 Exit Status: 
	    1 		   30 	   10 	   20 			 Eaten
	    2 		   14 	    0 	    7 			 Eaten
	    3 		  158 	   75 	   45 			 Lost
	    4 		  151 	   75 	   45 			 Lost
	    5 		   21 	    5 	   16 			 Eaten
	    6 		   20 	    0 	   20 			 Eaten
	    7 		   25 	    0 	   21 			 Eaten
	    8 		  214 	   75 	   35 			 Lost
	    9 		   16 	    0 	    7 			 Eaten
	   10 		   38 	    7 	   26 			 Eaten
	   11 		  299 	   75 	  143 			 Lost
	   12 		  151 	   75 	   45 			 Lost
	   13 		   16 	    4 	   12 			 Eaten
	   14 		  121 	   75 	   42 			 Lost
	   15 		   12 	    0 	   12 			 Eaten
	   16 		   21 	    0 	   21 			 Eaten
	   17 		  651 	   75 	  181 			 Lost
	   18 		   12 	    0 	   12 			 Eaten
	   19 		   25 	   11 	   14 			 Eaten
	   20 		   18 	    2 	   16 			 Eaten
	   21 		   16 	    4 	   12 			 Eaten
	   22 		   21 	    0 	   21 			 Eaten
	   23 		   65 	   13 	   45 			 Eaten
	   24 		   44 	    5 	   30 			 Eaten
	   25 		   61 	    0 	   60 			 Eaten
	   26 		   20 	    0 	   20 			 Eaten
	   27 		  151 	   75 	   45 			 Lost
	   28 		   10 	    0 	   10 			 Eaten
	   29 		  159 	   75 	   45 			 Lost
	   30 		   21 	    0 	   21 			 Eaten
	   31 		  534 	   75 	  216 			 Lost
	   32 		  151 	   75 	   45 			 Lost
	   33 		   21 	    0 	   21 			 Eaten
	   34 		   44 	    5 	   30 			 Eaten
	   35 		  159 	   75 	   46 			 Lost
	   36 		  137 	   75 	   46 			 Lost
	   37 		   16 	    0 	   12 			 Eaten
	   38 		  349 	   75 	  137 			 Lost
	   39 		   12 	    0 	   12 			 Eaten
	   40 		   20 	    0 	   20 			 Eaten
	   41 		  265 	   75 	  144 			 Lost
	   42 		   53 	    7 	   46 			 Eaten
	   43 		   32 	    0 	   23 			 Eaten
	   44 		   10 	    0 	   10 			 Eaten
	   45 		   40 	   20 	   20 			 Eaten
	   46 		  387 	   75 	  155 			 Lost
	   47 		  137 	   75 	   46 			 Lost
	   48 		   24 	    6 	   18 			 Eaten
	   49 		   16 	    4 	   12 			 Eaten
	   50 		   12 	    0 	   12 			 Eaten
Session ended at: Sunday, March 12, 2017 20:48:58

New session initialized at: Sunday, March 12, 2017 21:00:31
Generation: 	 Turn: 	 Idle: 	 Score: 	 Exit Status: 
	    1 		  128 	    9 	   84 			 Eaten
	    2 		   61 	    0 	   59 			 Eaten
	    3 		   36 	    8 	   28 			 Eaten
	    4 		   63 	   24 	   38 			 Eaten
	    5 		  320 	   75 	  151 			 Lost
	    6 		   97 	    9 	   77 			 Eaten
	    7 		   14 	    0 	   14 			 Eaten
	    8 		  233 	   75 	   95 			 Lost
	    9 		   93 	    0 	   88 			 Eaten
	   10 		  153 	   75 	   51 			 Lost
	   11 		  199 	    3 	  140 			 Eaten
	   12 		   64 	    0 	   50 			 Eaten
	   13 		  184 	   17 	  120 			 Eaten
	   14 		  132 	   75 	   46 			 Lost
	   15 		  164 	   75 	   64 			 Lost
	   16 		   76 	   75 	    1 			 Lost
	   17 		  161 	   75 	   45 			 Lost
	   18 		  139 	   75 	   25 			 Lost
	   19 		   76 	    0 	   72 			 Eaten
	   20 		  141 	    0 	  110 			 Eaten
	   21 		  169 	   75 	   25 			 Lost
	   22 		   97 	    0 	   73 			 Eaten
	   23 		  126 	   75 	   26 			 Lost
	   24 		   84 	    0 	   65 			 Eaten
	   25 		   98 	   75 	   23 			 Lost
	   26 		  132 	   75 	   46 			 Lost
	   27 		  161 	   75 	   39 			 Lost
	   28 		   86 	    0 	   70 			 Eaten
	   29 		   92 	    5 	   85 			 Eaten
	   30 		  116 	    0 	   78 			 Eaten
	   31 		  190 	    3 	  144 			 Eaten
	   32 		  344 	   75 	  176 			 Lost
	   33 		   80 	    0 	   70 			 Eaten
	   34 		  197 	   75 	   46 			 Lost
	   35 		   76 	    0 	   72 			 Eaten
	   36 		  220 	   75 	   46 			 Lost
	   37 		  250 	    0 	   54 			 Eaten
	   38 		  146 	   16 	   37 			 Eaten
	   39 		  254 	    2 	   40 			 Eaten
	   40 		  132 	    3 	  102 			 Eaten
	   41 		  132 	   75 	   46 			 Lost
	   42 		   14 	    0 	   14 			 Eaten
	   43 		  101 	    0 	   59 			 Eaten
	   44 		  177 	   75 	   81 			 Lost
	   45 		  132 	   75 	   46 			 Lost
	   46 		  192 	   24 	   36 			 Eaten
	   47 		  115 	   75 	   40 			 Lost
	   48 		  161 	    6 	  132 			 Eaten
	   49 		  259 	   75 	  126 			 Lost
	   50 		  220 	    6 	   92 			 Eaten
Session ended at: Sunday, March 12, 2017 21:01:58

New session initialized at: Sunday, March 12, 2017 21:07:39
Generation: 	 Turn: 	 Idle: 	 Score: 	 Exit Status: 
	    1 		   78 	    4 	   54 			 Eaten
	    2 		   18 	    0 	   18 			 Eaten
	    3 		   44 	    2 	   42 			 Eaten
	    4 		   68 	    0 	   65 			 Eaten
	    5 		   17 	    3 	   14 			 Eaten
	    6 		   71 	   32 	   38 			 Eaten
	    7 		  157 	  100 	   46 			 Lost
	    8 		   84 	    0 	   65 			 Eaten
	    9 		   23 	    3 	   20 			 Eaten
	   10 		   92 	    0 	   60 			 Eaten
	   11 		  135 	    6 	  115 			 Eaten
	   12 		   75 	    0 	   55 			 Eaten
	   13 		   23 	    0 	   23 			 Eaten
	   14 		   99 	    9 	   70 			 Eaten
	   15 		  277 	  100 	   42 			 Lost
	   16 		   78 	    4 	   54 			 Eaten
	   17 		  136 	    8 	  108 			 Eaten
	   18 		   73 	    0 	   45 			 Eaten
	   19 		   83 	    4 	   76 			 Eaten
	   20 		  185 	  100 	   55 			 Lost
	   21 		  289 	  100 	   36 			 Lost
	   22 		  116 	  100 	   16 			 Lost
	   23 		  444 	  100 	  153 			 Lost
	   24 		  106 	    0 	   20 			 Eaten
	   25 		   93 	    0 	   82 			 Eaten
	   26 		  254 	  100 	   45 			 Lost
	   27 		   99 	    0 	   80 			 Eaten
	   28 		  157 	  100 	   46 			 Lost
	   29 		  128 	    0 	   28 			 Eaten
	   30 		   78 	    5 	   53 			 Eaten
	   31 		   17 	    3 	   14 			 Eaten
	   32 		  348 	  100 	   58 			 Lost
	   33 		  117 	    6 	   62 			 Eaten
	   34 		   26 	    0 	   25 			 Eaten
	   35 		   14 	    0 	   14 			 Eaten
	   36 		  157 	  100 	   46 			 Lost
	   37 		   39 	    0 	   39 			 Eaten
	   38 		  199 	  100 	   60 			 Lost
	   39 		  132 	    0 	   65 			 Eaten
	   40 		  112 	   25 	   57 			 Eaten
	   41 		  186 	  100 	   45 			 Lost
	   42 		  105 	    9 	   78 			 Eaten
	   43 		   68 	    0 	   65 			 Eaten
	   44 		  199 	  100 	   46 			 Lost
	   45 		  228 	  100 	   46 			 Lost
	   46 		   44 	    0 	   34 			 Eaten
	   47 		   68 	    0 	   65 			 Eaten
	   48 		  200 	  100 	   45 			 Lost
	   49 		   96 	    0 	   70 			 Eaten
	   50 		   17 	    3 	   14 			 Eaten
Session ended at: Sunday, March 12, 2017 21:08:53

New session initialized at: Monday, March 13, 2017 16:52:26
Generation: 	 Turn: 	 Idle: 	 Score: 	 Exit Status: 
	    1 		   95 	    4 	   59 			 Eaten
	    2 		  117 	    2 	  101 			 Eaten
	    3 		  167 	   45 	   41 			 Eaten
	    4 		   22 	    0 	   22 			 Eaten
	    5 		  150 	    9 	   82 			 Eaten
	    6 		   19 	    0 	   19 			 Eaten
	    7 		   54 	    0 	   34 			 Eaten
	    8 		   21 	    3 	   18 			 Eaten
	    9 		   96 	    0 	   61 			 Eaten
	   10 		  236 	  100 	  134 			 Lost
	   11 		  164 	  100 	   25 			 Lost
	   12 		  183 	  100 	   46 			 Lost
	   13 		   56 	    2 	   51 			 Eaten
	   14 		   41 	    6 	   30 			 Eaten
	   15 		  163 	    0 	  101 			 Eaten
	   16 		   39 	    0 	   39 			 Eaten
	   17 		   33 	    7 	   26 			 Eaten
	   18 		  537 	  100 	  226 			 Lost
	   19 		  257 	   51 	   94 			 Eaten
	   20 		  298 	  100 	   47 			 Lost
	   21 		  420 	  100 	  161 			 Lost
